CCC(C)S	CHEMBL3183438
CCSCCCl	CHEMBL3183525
N#CCC#N	CHEMBL3187514
OCC#CCO	CHEMBL3187551
C1COCO1	CHEMBL3187281
ClCOCCl	CHEMBL3185875
CCCNCCC	CHEMBL3185961
NCCNCCO	CHEMBL3186403
CCC(C)N	CHEMBL3186956
CCCCCCI	CHEMBL3188734
CCCOCCC	CHEMBL3187166
CCCOCCO	CHEMBL3189002
COCCC#N	CHEMBL3560782
CC=CC=O	CHEMBL3561468
CCCCOCC	CHEMBL3561108
ClCC=CCl	CHEMBL155926
NC1CONC1=O	CHEMBL8151
CCC1OC1C	CHEMBL177905
Cc1ccccc1N	CHEMBL1381
CCC=CC=O	CHEMBL256368
CC=CC=O	CHEMBL1086445
CCCC=NO	CHEMBL1869638
ClC=CCl	CHEMBL1441128
CCC=CCO	CHEMBL2269088
OCC=CCO	CHEMBL3188586
NCC(O)CON	CHEMBL26435
CC(O)CBr	CHEMBL446288
ClCC1CO1	CHEMBL448626
BrCC1CO1	CHEMBL504705
CC(N)CO	CHEMBL1229871
NC(N)=O	CHEMBL2096635
NC(N)=O	CHEMBL2096648
CCN(=O)=O	CHEMBL15625
CN(=O)=O	CHEMBL276924
CCS(C)=O	CHEMBL278882
O=S1CCC1	CHEMBL368734
CSS(C)=O	CHEMBL403038
OCC(O)CI	CHEMBL467595
O=C1NC=CC=C1	CHEMBL662
CN1CCCNC1=S	CHEMBL6954
CN(CCCl)CCCl	CHEMBL427
OCN1CCC1=O	CHEMBL10689
NCCc1c[nH]cn1	CHEMBL90
S=C1NCCCN1	CHEMBL11938
O=C1CCCCN1	CHEMBL12193
O=C1NCCCN1	CHEMBL12593
CN1CCCC1=O	CHEMBL12543
Oc1ccc(O)cc1	CHEMBL537
NCC(Cl)CON	CHEMBL15650
c1nc[nH]n1	CHEMBL15571
c1cn[nH]c1	CHEMBL15967
c1cc[nH]c1	CHEMBL16225
Clc1ccccc1	CHEMBL16200
CCCC(=O)OC	CHEMBL15859
Brc1ccccc1	CHEMBL16068
CCCCCCCC=O	CHEMBL18407
CCCCC(O)CN	CHEMBL18843
O=C1CCCCC1	CHEMBL18850
NCCCCNCCCN	CHEMBL19612
CCC1CCCCN1	CHEMBL22270
CCc1ccncc1	CHEMBL22977
CCc1cccnc1	CHEMBL23025
CCN1CCCCC1	CHEMBL25053
CCCCCCCCCO	CHEMBL24563
NCCc1nccs1	CHEMBL25414
CNCC(O)CON	CHEMBL26797
NCCCCSCCCN	CHEMBL28866
NCCCCCCCCN	CHEMBL29392
NCCCS(O)=O	CHEMBL32102
NCc1ccccn1	CHEMBL32189
ON1CCCC1=O	CHEMBL31629
CCC(C)(C)O	CHEMBL44658
CCOC(=O)CC	CHEMBL44115
CCCOC(C)=O	CHEMBL44857
OCCNCCNCCO	CHEMBL47248
CCCCCN(C)C	CHEMBL47794
O=CNC1CCC1	CHEMBL49774
O=C1CCC=C1	CHEMBL52190
CCN(CC)CCN	CHEMBL52701
CC(=O)NC#N	CHEMBL56672
CN(C)CCCCN	CHEMBL59625
NCCCCNCC=C	CHEMBL61421
O=Cc1ccsc1	CHEMBL72211
CSc1cnccn1	CHEMBL94743
ClC1NCC=N1	CHEMBL98381
CCc1cnccn1	CHEMBL97525
COc1cnccn1	CHEMBL97794
CSC1NCC=N1	CHEMBL99226
CCC1NCC=N1	CHEMBL98596
